"","Incident.Number","Call.Date.Time","Location","Incident.Type","Other","Individual","Dispositions","Race","Gender","AgeRange","Reason","Enforcement","CarSearch","lat","long","Arrest","Emergency.Psych.Eval","Hour","Day"
"10908","2016-00003671",2016-01-19 11:01:00,"SHATTUCK AVE / CENTER ST","1194",NA,1,"AM2TCN","Asian","M","2","Traffic","Citation","No Search",37.8703057,-122.2680389,"Not Arrested","No",11,"3"
"10909","2016-00003672",2016-01-19 11:04:00,"SHATTUCK AVE / CENTER ST","T",NA,1,"WM2TCN","White","M","2","Traffic","Citation","No Search",37.8703057,-122.2680389,"Not Arrested","No",11,"3"
"10910","2016-00003673",2016-01-19 11:05:00,"SHATTUCK AVE / CENTER ST","1194",NA,1,"BF2TWN","Black","F","2","Traffic","Warning","No Search",37.8703057,-122.2680389,"Not Arrested","No",11,"3"
"10911","2016-00003739",2016-01-19 16:48:00,"2100 BLOCK SHATTUCK AVE","1194",NA,1,"WM2RWN","White","M","2","Reasonable Suscipcion","Warning","No Search",37.8711217,-122.2682992,"Not Arrested","No",16,"3"
"10912","2016-00003775",2016-01-19 19:57:00,"WEBSTER ST / BENVENUE AVE","T",NA,1,"BM4TCN","Black","M","4","Traffic","Citation","No Search",37.8559472,-122.2540323,"Not Arrested","No",19,"3"
"10913","2016-00003790",2016-01-19 21:21:00,"MLK/CENTER","T",NA,1,"AF1KAS","Asian","F","1","Probation/Parole","Arrest","Search",37.8696915,-122.2727922,"Arrested","No",21,"3"
"10914","2016-00003794",2016-01-19 21:48:00,"SEVENTH ST / PARKER ST","T",NA,1,"AM3TAS","Asian","M","3","Traffic","Arrest","Search",37.858435,-122.293485,"Arrested","No",21,"3"
"10915","2016-00003801",2016-01-19 22:30:00,"HEARST AVE / EUCLID AVE","T",NA,1,"WM3WON","White","M","3","Wanted","Other","No Search",37.8751149,-122.2601603,"Not Arrested","No",22,"3"
"10916","2016-00003806",2016-01-19 22:50:00,"UNIVERSITY AVE / OXFORD ST","T",NA,1,"WM4TWN","White","M","4","Traffic","Warning","No Search",37.8723917,-122.2661629,"Not Arrested","No",22,"3"
"10917","2016-00003808",2016-01-19 23:01:00,"STUART ST / TELEGRAPH AVE","1194B","FC",1,"BM3TWS","Black","M","3","Traffic","Warning","Search",37.8595432,-122.2592466,"Not Arrested","No",23,"3"
"10918","2016-00003809",2016-01-19 23:09:00,"DWIGHT WAY / SPAULDING AVE","T",NA,1,"WM4TAS","White","M","4","Traffic","Arrest","Search",37.8623331,-122.2800556,"Arrested","No",23,"3"
"10919","2016-00003814",2016-01-19 23:59:00,"2100 BLOCK M L KING JR WAY","T",NA,1,"HM2TAS","Hispanic","M","2","Traffic","Arrest","Search",37.8702602,-122.2731962,"Arrested","No",23,"3"
"10920","2016-00003846",2016-01-20 07:21:00,"UNIVERSITY AVE / JEFFERSON AVE","T",NA,1,"AF3TCN","Asian","F","3","Traffic","Citation","No Search",37.8707906,-122.2785481,"Not Arrested","No",7,"4"
"10921","2016-00003868",2016-01-20 10:49:00,"SACRAMENTO ST / ALCATRAZ AVE","T",NA,1,"BF3TCN","Black","F","3","Traffic","Citation","No Search",37.8479133,-122.2776885,"Not Arrested","No",10,"4"
"10922","2016-00003870",2016-01-20 11:10:00,"BANCROFT WAY / BARROWS LN","T",NA,1,"WF2TCN","White","F","2","Traffic","Citation","No Search",37.8688307,-122.2583329,"Not Arrested","No",11,"4"
"10923","2016-00003871",2016-01-20 11:13:00,"DANA ST / BANCROFT WAY","T",NA,1,"WM2TCN","White","M","2","Traffic","Citation","No Search",37.8684357,-122.2614604,"Not Arrested","No",11,"4"
"10924","2016-00003872",2016-01-20 11:16:00,"BANCROFT WAY / DANA ST","1194B",NA,1,"WM3TCN","White","M","3","Traffic","Citation","No Search",37.8684357,-122.2614604,"Not Arrested","No",11,"4"
"10925","2016-00003875",2016-01-20 11:29:00,"BANCROFT WAY / DANA ST","1194B",NA,1,"BM4TCN","Black","M","4","Traffic","Citation","No Search",37.8684357,-122.2614604,"Not Arrested","No",11,"4"
"10926","2016-00003880",2016-01-20 11:33:00,"BANCROFT WAY / ELLSWORTH ST","T",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8681263,-122.2637263,"Not Arrested","No",11,"4"
"10927","2016-00003882",2016-01-20 11:35:00,"KITTREDGE ST / FULTON ST","T",NA,1,"HM3TCN","Hispanic","M","3","Traffic","Citation","No Search",37.8687275,-122.266171,"Not Arrested","No",11,"4"
"10928","2016-00003886",2016-01-20 11:42:00,"M L KING JR WAY / CENTER ST","T",NA,1,"WF3TCN","White","F","3","Traffic","Citation","No Search",37.8696915,-122.2727922,"Not Arrested","No",11,"4"
"10929","2016-00003889",2016-01-20 11:54:00,"DURANT AVE / FULTON ST","T",NA,1,"AM2TWN","Asian","M","2","Traffic","Warning","No Search",37.8669493,-122.2657063,"Not Arrested","No",11,"4"
"10930","2016-00003891",2016-01-20 11:57:00,"2100 BLOCK M L KING JR WAY","1194",NA,1,"BM4RCN","Black","M","4","Reasonable Suscipcion","Citation","No Search",37.8702602,-122.2731962,"Not Arrested","No",11,"4"
"10931","2016-00003893",2016-01-20 12:05:00,"BANCROFT WAY / DANA ST","T","P",1,"WM4TAS","White","M","4","Traffic","Arrest","Search",37.8684357,-122.2614604,"Arrested","No",12,"4"
"10932","2016-00003895",2016-01-20 12:08:00,"1900 BLOCK CENTER ST","1194",NA,1,"BM4TCN","Black","M","4","Traffic","Citation","No Search",37.8698683,-122.2712982,"Not Arrested","No",12,"4"
