"","Country","Year","GDP per capita","Life Expectancy","Total Population","Group"
"14753","St. Vincent and the Grenadines","1856",1071,25.986,29971,NA
"14754","St.-Pierre-et-Miquelon","1856",NA,NA,2217,NA
"14755","Samoa","1856",1587,25.4,46077,"East Asia & Pacific"
"14756","San Marino","1856",1603,NA,6679,"Europe & Central Asia"
"14757","Sao Tome and Principe","1856",943,31,28467,"Sub-Saharan Africa"
"14758","Saudi Arabia","1856",896,32.1,2236084,"Middle East & North Africa"
"14759","Senegal","1856",593,25.2,1236126,"Sub-Saharan Africa"
"14760","Serbia","1856",1781,35.5,2799079,"Europe & Central Asia"
"14761","Serbia and Montenegro","1856",NA,NA,NA,"Europe & Central Asia"
"14762","Serbia excluding Kosovo","1856",NA,NA,NA,"Europe & Central Asia"
"14763","Seychelles","1856",988,37,13891,"Sub-Saharan Africa"
"14764","Sierra Leone","1856",876,25.1,971609,"Sub-Saharan Africa"
"14765","Singapore","1856",1110,34,56355,"East Asia & Pacific"
"14766","Slovak Republic","1856",1870,36.4,2388322,"Europe & Central Asia"
"14767","Slovenia","1856",1848,36.6,612303,"Europe & Central Asia"
"14768","Solomon Islands","1856",413,25.1,65274,"East Asia & Pacific"
"14769","Somalia","1856",732,29.4,1208406,"Sub-Saharan Africa"
"14770","Somaliland","1856",NA,NA,NA,"Sub-Saharan Africa"
"14771","South Africa","1856",1467,33.5,2091873,"Sub-Saharan Africa"
"14772","South Ossetia","1856",NA,NA,NA,"Europe & Central Asia"
"14773","Spain","1856",1767,29.5,14846857,"Europe & Central Asia"
"14774","Sri Lanka","1856",1051,32.6,2177134,"South Asia"
"14775","Sudan","1856",618,31.4,4687944,"Sub-Saharan Africa"
"14776","Suriname","1856",2092,32.9,101302,"America"
"14777","Svalbard","1856",NA,NA,NA,"Europe & Central Asia"
"14778","Swaziland","1856",584,32.3,86000,"Sub-Saharan Africa"
"14779","Sweden","1856",1848,42.14,3440593,"Europe & Central Asia"
"14780","Switzerland","1856",3934,38,2370905,"Europe & Central Asia"
"14781","Syria","1856",1134,31.1,1479335,"Middle East & North Africa"
"14782","Taiwan","1856",1004,28.3,NA,"East Asia & Pacific"
"14783","Tajikistan","1856",687,24.235,614819,"Europe & Central Asia"
"14784","Tanzania","1856",621,32.2,3358108,"Sub-Saharan Africa"
"14785","Thailand","1856",984,30.4,5247574,"East Asia & Pacific"
"14786","Timor-Leste","1856",582,28.949,191539,"East Asia & Pacific"
"14787","Togo","1856",814,31.3,581106,"Sub-Saharan Africa"
"14788","Tokelau","1856",NA,NA,949,"East Asia & Pacific"
"14789","Tonga","1856",751,28.2,18577,"East Asia & Pacific"
"14790","Transnistria","1856",NA,NA,NA,"Europe & Central Asia"
"14791","Trinidad and Tobago","1856",1500,38.8,83021,"America"
"14792","Tunisia","1856",853,28.8,1045505,"Middle East & North Africa"
"14793","Turkey","1856",1483,35,11074762,"Europe & Central Asia"
"14794","Turkmenistan","1856",1218,24,484374,"Europe & Central Asia"
"14795","Turks and Caicos Islands","1856",622,NA,4065,"America"
"14796","Tuvalu","1856",814,NA,2957,"East Asia & Pacific"
"14797","Uganda","1856",553,25.3,2322049,"Sub-Saharan Africa"
"14798","Ukraine","1856",986,36.6,14822733,"Europe & Central Asia"
"14799","United Arab Emirates","1856",1230,30.7,40153,"Middle East & North Africa"
"14800","United Kingdom","1856",5188,43.25,22623571,"Europe & Central Asia"
"14801","United States","1856",3582,39.41,24136293,"America"
"14802","Uruguay","1856",4101,32.9,142515,"America"
"14803","USSR","1856",NA,NA,NA,"Europe & Central Asia"
"14804","Uzbekistan","1856",563,26.926,2530062,"Europe & Central Asia"
"14805","Wallis et Futuna","1856",NA,NA,4307,"East Asia & Pacific"
"14806","Vanuatu","1856",663,24.3,31490,"East Asia & Pacific"
"14807","Venezuela","1856",802,32.2,1298076,"America"
"14808","West Bank and Gaza","1856",1231,32.1,169606,"Middle East & North Africa"
"14809","West Germany","1856",NA,NA,NA,"Europe & Central Asia"
"14810","Western Sahara","1856",NA,34.753,4041,"Middle East & North Africa"
"14811","Vietnam","1856",842,32,8722624,"East Asia & Pacific"
"14812","Virgin Islands (U.S.)","1856",NA,33.403,38995,"America"
"14813","North Yemen (former)","1856",NA,NA,NA,NA
"14814","South Yemen (former)","1856",NA,NA,NA,NA
"14815","Yemen","1856",1027,23.387,2738662,NA
"14816","Yugoslavia","1856",NA,NA,NA,"Europe & Central Asia"
"14817","Zambia","1856",759,32.6,747000,"Sub-Saharan Africa"
"14818","Zimbabwe","1856",930,33.7,1346417,"Sub-Saharan Africa"
"14819","Åland","1856",NA,NA,NA,"Europe & Central Asia"
"14820","South Sudan","1856",605,26.665,1205835,"Sub-Saharan Africa"
"14821","Abkhazia","1857",NA,NA,NA,"Europe & Central Asia"
"14822","Afghanistan","1857",685,27.62694,3810047,"South Asia"
"14823","Akrotiri and Dhekelia","1857",NA,NA,NA,"Europe & Central Asia"
"14824","Albania","1857",728,35.4,506889,"Europe & Central Asia"
"14825","Algeria","1857",1098,28.8224,3299305,"Middle East & North Africa"
"14826","American Samoa","1857",NA,NA,7958,"East Asia & Pacific"
"14827","Andorra","1857",1922,NA,3230,"Europe & Central Asia"
"14828","Angola","1857",793,26.98,1949329,"Sub-Saharan Africa"
"14829","Anguilla","1857",NA,NA,2511,"America"
"14830","Antigua and Barbuda","1857",974,33.536,37000,"America"
"14831","Argentina","1857",2555,33.2,1113189,"America"
"14832","Armenia","1857",594,33.995,544302,"Europe & Central Asia"
"14833","Aruba","1857",1072,34.419,22574,"America"
"14834","Australia","1857",4461,34.05,742619,"East Asia & Pacific"
"14835","Austria","1857",3114,34.4,3962619,"Europe & Central Asia"
"14836","Azerbaijan","1857",955,29.165,1160156,"Europe & Central Asia"
"14837","Bahamas","1857",1860,35.179,29372,"America"
"14838","Bahrain","1857",1658,30.3,64474,"Middle East & North Africa"
"14839","Bangladesh","1857",879,25.5,22719284,"South Asia"
"14840","Barbados","1857",1175,32.124,132965,"America"
"14841","Belarus","1857",762,36.2,3104450,"Europe & Central Asia"
"14842","Belgium","1857",4087,40.49,4426000,"Europe & Central Asia"
"14843","Belize","1857",745,26.5,25872,"America"
"14844","Benin","1857",715,31,853818,"Sub-Saharan Africa"
"14845","Bermuda","1857",1579,NA,10786,"America"
"14846","Bhutan","1857",679,28.799,104032,"South Asia"
"14847","Bolivia","1857",1215,33,1363412,"America"
"14848","Bosnia and Herzegovina","1857",784,35.1,1109495,"Europe & Central Asia"
"14849","Botswana","1857",476,33.6,121000,"Sub-Saharan Africa"
"14850","Brazil","1857",1252,31.9889800000001,7254194,"America"
"14851","British Virgin Islands","1857",NA,NA,6700,"America"
"14852","Brunei","1857",1719,29.2,3966,"East Asia & Pacific"
"14853","Bulgaria","1857",1311,38.3079999999998,2482395,"Europe & Central Asia"
"14854","Burkina Faso","1857",501,29.2,2073222,"Sub-Saharan Africa"
"14855","Burundi","1857",441,31.5,1135030,"Sub-Saharan Africa"
"14856","Cambodia","1857",957,35,2236808,"East Asia & Pacific"
"14857","Cameroon","1857",751,28.75,2033578,"Sub-Saharan Africa"
"14858","Canada","1857",2343,41.380896,2487811,"America"
"14859","Cape Verde","1857",621,33.8,72956,"Sub-Saharan Africa"
"14860","Cayman Islands","1857",1337,NA,3103,"America"
"14861","Central African Republic","1857",509,30,553476,NA
"14862","Chad","1857",501,30.9,1432000,"Sub-Saharan Africa"
"14863","Channel Islands","1857",NA,NA,53405,"Europe & Central Asia"
"14864","Chile","1857",1508,32,1413837,"America"
"14865","China","1857",999,26.7125,402711280,"East Asia & Pacific"
"14866","Christmas Island","1857",NA,NA,NA,"East Asia & Pacific"
"14867","Cocos Island","1857",NA,NA,NA,"East Asia & Pacific"
"14868","Colombia","1857",1062,32,2014645,"America"
"14869","Comoros","1857",738,32.1,71389,"Sub-Saharan Africa"
"14870","Congo, Dem. Rep.","1857",613,31.6,6300144,"Sub-Saharan Africa"
"14871","Congo, Rep.","1857",675,32.7,391323,"Sub-Saharan Africa"
"14872","Cook Is","1857",NA,NA,15862,NA
"14873","Costa Rica","1857",1175,30.2147,100882,"America"
"14874","Cote d'Ivoire","1857",1020,31.156,1335437,"Sub-Saharan Africa"
"14875","Croatia","1857",1773,36.1,1600709,"Europe & Central Asia"
"14876","Cuba","1857",1674,36.56,1181650,"America"
"14877","Cyprus","1857",1325,38.5071999999999,185383,"Europe & Central Asia"
"14878","Czech Republic","1857",2521,34.9544,6157866,NA
"14879","Czechoslovakia","1857",NA,NA,NA,"Europe & Central Asia"
"14880","Denmark","1857",2982,42.49,1511190,"Europe & Central Asia"
"14881","Djibouti","1857",901,29.9,28798,"Middle East & North Africa"
"14882","Dominica","1857",853,NA,23075,"America"
"14883","Dominican Republic","1857",818,29.9,150616,NA
"14884","East Germany","1857",NA,NA,NA,"Europe & Central Asia"
"14885","Ecuador","1857",672,32.9,807027,"America"
"14886","Egypt","1857",941,33,5738339,"Middle East & North Africa"
"14887","El Salvador","1857",1333,28.7,369053,"America"
"14888","Equatorial Guinea","1857",383,29.8,88807,"Sub-Saharan Africa"
"14889","Eritrea","1857",586,30.2,305654,"Sub-Saharan Africa"
"14890","Eritrea and Ethiopia","1857",NA,NA,NA,"Sub-Saharan Africa"
"14891","Estonia","1857",1219,39.2475345178042,440656,"Europe & Central Asia"
"14892","Ethiopia","1857",531,29.7,4517871,"Sub-Saharan Africa"
"14893","Faeroe Islands","1857",NA,NA,16463,"Europe & Central Asia"
"14894","Falkland Is (Malvinas)","1857",NA,NA,109,NA
"14895","Fiji","1857",892,26.1,137063,"East Asia & Pacific"
"14896","Finland","1857",1569,30.1186784996928,1607810,"Europe & Central Asia"
"14897","France","1857",3112,39.59,36277905,"Europe & Central Asia"
"14898","French Guiana","1857",NA,30.5,12324,"America"
"14899","French Polynesia","1857",NA,25.6,61061,"East Asia & Pacific"
"14900","Gabon","1857",394,30.6,203580,"Sub-Saharan Africa"
"14901","Gambia","1857",842,28.8,129198,"Sub-Saharan Africa"
"14902","Georgia","1857",649,31.871,1413431,"Europe & Central Asia"
"14903","Germany","1857",2440,38.37,33663143,"Europe & Central Asia"
"14904","Ghana","1857",728,28,1741881,"Sub-Saharan Africa"
"14905","Gibraltar","1857",NA,NA,11693,"Europe & Central Asia"
"14906","Greece","1857",1866,36.6,3048571,"Europe & Central Asia"
"14907","Greenland","1857",585,33.8671777952389,11739,"Europe & Central Asia"
"14908","Grenada","1857",1125,37.3,32404,"America"
"14909","Guadeloupe","1857",NA,27.655,100754,"America"
"14910","Guam","1857",NA,27.5,29213,"East Asia & Pacific"
"14911","Guatemala","1857",1161,25.8091200000001,852410,"America"
"14912","Guernsey","1857",NA,NA,NA,"Europe & Central Asia"
"14913","Guinea","1857",487,30.0896551724137,1283517,"Sub-Saharan Africa"
"14914","Guinea-Bissau","1857",803,32,266586,"Sub-Saharan Africa"
"14915","Guyana","1857",1562,31.12,204328,"America"
"14916","Haiti","1857",926,29,943260,"America"
"14917","Holy See","1857",NA,NA,905,"Europe & Central Asia"
"14918","Honduras","1857",1085,33.9,330619,"America"
"14919","Hong Kong, China","1857",1097,34.9,38893,"East Asia & Pacific"
"14920","Hungary","1857",1671,36,5159444,"Europe & Central Asia"
"14921","Iceland","1857",1389,39.49,74711,"Europe & Central Asia"
"14922","India","1857",1056,25.4424,196657653,"South Asia"
"14923","Indonesia","1857",1054,30,21979198,"East Asia & Pacific"
"14924","Iran","1857",1051,25.6,7620641,"Middle East & North Africa"
"14925","Iraq","1857",1131,31.2,1364818,"Middle East & North Africa"
"14926","Ireland","1857",2458,38.3,5071239,"Europe & Central Asia"
"14927","Isle of Man","1857",NA,NA,28679,"Europe & Central Asia"
"14928","Israel","1857",887,32,214587,"Middle East & North Africa"
"14929","Italy","1857",2402,29.69,24478190,"Europe & Central Asia"
"14930","Jamaica","1857",911,34.2,411331,"America"
"14931","Japan","1857",1155,36.4226596923079,32223184,"East Asia & Pacific"
"14932","Jersey","1857",NA,NA,NA,"Europe & Central Asia"
"14933","Jordan","1857",1139,31.7,245270,"Middle East & North Africa"
"14934","Kazakhstan","1857",1482,26.2,2689863,"Europe & Central Asia"
"14935","Kenya","1857",1020,25.5,2574000,"Sub-Saharan Africa"
"14936","Kiribati","1857",579,24.9,19511,"East Asia & Pacific"
"14937","North Korea","1857",546,26,4443898,NA
"14938","South Korea","1857",543,25.8,9558873,NA
"14939","United Korea (former)
","1857",NA,NA,NA,NA
"14940","Kosovo","1857",NA,NA,NA,"Europe & Central Asia"
"14941","Kuwait","1857",1358,26,81280,"Middle East & North Africa"
"14942","Kyrgyz Republic","1857",705,23.941,698710,NA
"14943","Lao","1857",947,31.9,625637,NA
"14944","Latvia","1857",977,33,779141,"Europe & Central Asia"
"14945","Lebanon","1857",1416,29.7,412508,"Middle East & North Africa"
"14946","Lesotho","1857",406,32.8,346589,"Sub-Saharan Africa"
"14947","Liberia","1857",883,31.1,401556,"Sub-Saharan Africa"
"14948","Libya","1857",1657,33.1,625135,"Middle East & North Africa"
"14949","Liechtenstein","1857",NA,NA,7087,"Europe & Central Asia"
"14950","Lithuania","1857",1652,28.9,1027042,"Europe & Central Asia"
"14951","Luxembourg","1857",2256,36.9,154534,"Europe & Central Asia"
"14952","Macao, China","1857",1128,34.7,40085,"East Asia & Pacific"
"14953","Macedonia, FYR","1857",909,36.1,510936,"Europe & Central Asia"
"14954","Madagascar","1857",687,30.5,2066759,"Sub-Saharan Africa"
"14955","Malawi","1857",353,30.3,737000,"Sub-Saharan Africa"
"14956","Malaysia","1857",1079,30.6,534296,"East Asia & Pacific"
"14957","Maldives","1857",842,32.647,50501,"South Asia"
"14958","Mali","1857",612,26.408,1852037,"Sub-Saharan Africa"
"14959","Malta","1857",1100,28.7,163051,"Europe & Central Asia"
"14960","Marshall Islands","1857",558,NA,7018,"East Asia & Pacific"
"14961","Martinique","1857",NA,30.153,105264,"America"
"14962","Mauritania","1857",632,32,433694,"Sub-Saharan Africa"
"14963","Mauritius","1857",1127,36.5845724825496,201362,"Sub-Saharan Africa"
"14964","Mayotte","1857",NA,32.5,9467,"Sub-Saharan Africa"
"14965","Mexico","1857",1274,26.9,7754411,"America"
"14966","Micronesia, Fed. Sts.","1857",536,26.7,19159,"East Asia & Pacific"
"14967","Moldova","1857",761,33.145,939070,"Europe & Central Asia"
"14968","Monaco","1857",3075,NA,9692,"Europe & Central Asia"
"14969","Mongolia","1857",632,31.8,647979,"East Asia & Pacific"
"14970","Montenegro","1857",1393,35.4,165172,"Europe & Central Asia"
"14971","Montserrat","1857",NA,NA,6994,"America"
"14972","Morocco","1857",765,33.1,3299305,"Middle East & North Africa"
"14973","Mozambique","1857",404,30.2772400000001,2719675,"Sub-Saharan Africa"
"14974","Myanmar","1857",847,30.8,3933130,"East Asia & Pacific"
"14975","Namibia","1857",941,32.4,229000,"Sub-Saharan Africa"
"14976","Nauru","1857",664,NA,2048,"East Asia & Pacific"
"14977","Nepal","1857",660,32.8,4353245,"South Asia"
"14978","Netherlands","1857",4748,35.46,3122714,"Europe & Central Asia"
"14979","Netherlands Antilles","1857",NA,34.408,NA,"America"
"14980","New Caledonia","1857",NA,26,35338,"East Asia & Pacific"
"14981","New Zealand","1857",3014,34.05,94934,"East Asia & Pacific"
"14982","Ngorno-Karabakh","1857",NA,NA,NA,"Europe & Central Asia"
"14983","Nicaragua","1857",1446,25.4,345374,"America"
"14984","Niger","1857",535,30.8,1457723,"Sub-Saharan Africa"
"14985","Nigeria","1857",1044,30.4,13760390,"Sub-Saharan Africa"
"14986","Niue","1857",NA,NA,4505,"East Asia & Pacific"
"14987","Norfolk Island","1857",NA,NA,NA,"East Asia & Pacific"
"14988","Northern Cyprus","1857",NA,NA,NA,"Europe & Central Asia"
"14989","Northern Mariana Islands","1857",NA,NA,3982,"East Asia & Pacific"
"14990","Norway","1857",1853,50.22,1401619,"Europe & Central Asia"
"14991","Oman","1857",1071,32.3,346606,"Middle East & North Africa"
"14992","Pakistan","1857",1024,25.8,15069036,"South Asia"
"14993","Palau","1857",954,NA,4507,"East Asia & Pacific"
"14994","Panama","1857",1289,32.9,133955,"America"
"14995","Papua New Guinea","1857",621,31.5,912100,"East Asia & Pacific"
"14996","Paraguay","1857",1331,35.5,329615,"America"
"14997","Peru","1857",1331,35.7,2003904,"America"
"14998","Philippines","1857",1019,30.9,3160952,"East Asia & Pacific"
"14999","Pitcairn","1857",NA,NA,NA,"East Asia & Pacific"
"15000","Poland","1857",1507,35.9,13219914,"Europe & Central Asia"
"15001","Portugal","1857",1669,35.6,3821571,"Europe & Central Asia"
"15002","Puerto Rico","1857",1686,30.43,490452,"America"
"15003","Qatar","1857",1358,30.8,14092,"Middle East & North Africa"
"15004","Reunion","1857",NA,33,116510,"Sub-Saharan Africa"
"15005","Romania","1857",1356,35.7,7994544,"Europe & Central Asia"
"15006","Russia","1857",1860,29.5734571976521,41023821,"Europe & Central Asia"
"15007","Rwanda","1857",463,31.8,1118138,"Sub-Saharan Africa"
"15008","St. Barthélemy","1857",NA,NA,NA,NA
"15009","St. Helena","1857",NA,NA,5474,NA
"15010","St. Kitts and Nevis","1857",1498,NA,21614,NA
"15011","St. Lucia","1857",990,28.008,24629,NA
"15012","St. Martin","1857",NA,NA,NA,NA
"15013","St. Vincent and the Grenadines","1857",1078,25.986,29971,NA
"15014","St.-Pierre-et-Miquelon","1857",NA,NA,2217,NA
"15015","Samoa","1857",1592,25.4,46077,"East Asia & Pacific"
"15016","San Marino","1857",1615,NA,6679,"Europe & Central Asia"
"15017","Sao Tome and Principe","1857",945,31,28467,"Sub-Saharan Africa"
"15018","Saudi Arabia","1857",897,32.1,2236084,"Middle East & North Africa"
"15019","Senegal","1857",596,25.2,1236126,"Sub-Saharan Africa"
"15020","Serbia","1857",1788,35.5,2799079,"Europe & Central Asia"
"15021","Serbia and Montenegro","1857",NA,NA,NA,"Europe & Central Asia"
"15022","Serbia excluding Kosovo","1857",NA,NA,NA,"Europe & Central Asia"
"15023","Seychelles","1857",992,37,13891,"Sub-Saharan Africa"
"15024","Sierra Leone","1857",880,25.1,971609,"Sub-Saharan Africa"
"15025","Singapore","1857",1112,34,56355,"East Asia & Pacific"
"15026","Slovak Republic","1857",1878,36.4,2388322,"Europe & Central Asia"
"15027","Slovenia","1857",1855,36.6,612303,"Europe & Central Asia"
"15028","Solomon Islands","1857",415,25.1,65274,"East Asia & Pacific"
"15029","Somalia","1857",732,29.4,1208406,"Sub-Saharan Africa"
"15030","Somaliland","1857",NA,NA,NA,"Sub-Saharan Africa"
"15031","South Africa","1857",1737,33.5,2091873,"Sub-Saharan Africa"
"15032","South Ossetia","1857",NA,NA,NA,"Europe & Central Asia"
"15033","Spain","1857",1719,29.5,14846857,"Europe & Central Asia"
"15034","Sri Lanka","1857",1073,32.6,2177134,"South Asia"
"15035","Sudan","1857",621,31.4,4687944,"Sub-Saharan Africa"
"15036","Suriname","1857",2106,32.9,101302,"America"
"15037","Svalbard","1857",NA,NA,NA,"Europe & Central Asia"
"15038","Swaziland","1857",587,32.3,86000,"Sub-Saharan Africa"
"15039","Sweden","1857",1899,34.64,3440593,"Europe & Central Asia"
"15040","Switzerland","1857",4247,38,2370905,"Europe & Central Asia"
"15041","Syria","1857",1136,31.1,1479335,"Middle East & North Africa"
"15042","Taiwan","1857",1004,28.3,NA,"East Asia & Pacific"
"15043","Tajikistan","1857",691,24.235,614819,"Europe & Central Asia"
"15044","Tanzania","1857",623,32.2,3358108,"Sub-Saharan Africa"
"15045","Thailand","1857",985,30.4,5247574,"East Asia & Pacific"
"15046","Timor-Leste","1857",583,28.949,191539,"East Asia & Pacific"
"15047","Togo","1857",818,31.3,581106,"Sub-Saharan Africa"
"15048","Tokelau","1857",NA,NA,949,"East Asia & Pacific"
"15049","Tonga","1857",753,28.2,18577,"East Asia & Pacific"
"15050","Transnistria","1857",NA,NA,NA,"Europe & Central Asia"
"15051","Trinidad and Tobago","1857",1508,38.8,83021,"America"
"15052","Tunisia","1857",857,28.8,1045505,"Middle East & North Africa"
"15053","Turkey","1857",1490,35,11074762,"Europe & Central Asia"
"15054","Turkmenistan","1857",1226,24,484374,"Europe & Central Asia"
"15055","Turks and Caicos Islands","1857",626,NA,4065,"America"
"15056","Tuvalu","1857",817,NA,2957,"East Asia & Pacific"
"15057","Uganda","1857",556,25.3,2322049,"Sub-Saharan Africa"
"15058","Ukraine","1857",992,36.6,14822733,"Europe & Central Asia"
"15059","United Arab Emirates","1857",1234,30.7,40153,"Middle East & North Africa"
"15060","United Kingdom","1857",5196,41.88,22623571,"Europe & Central Asia"
"15061","United States","1857",3503,39.41,24136293,"America"
"15062","Uruguay","1857",4199,32.9,142515,"America"
"15063","USSR","1857",NA,NA,NA,"Europe & Central Asia"
"15064","Uzbekistan","1857",564,26.926,2530062,"Europe & Central Asia"
"15065","Wallis et Futuna","1857",NA,NA,4307,"East Asia & Pacific"
"15066","Vanuatu","1857",666,24.3,31490,"East Asia & Pacific"
"15067","Venezuela","1857",806,32.2,1298076,"America"
"15068","West Bank and Gaza","1857",1231,32.1,169606,"Middle East & North Africa"
"15069","West Germany","1857",NA,NA,NA,"Europe & Central Asia"
"15070","Western Sahara","1857",NA,34.753,4041,"Middle East & North Africa"
"15071","Vietnam","1857",842,32,8722624,"East Asia & Pacific"
"15072","Virgin Islands (U.S.)","1857",NA,33.403,38995,"America"
"15073","North Yemen (former)","1857",NA,NA,NA,NA
"15074","South Yemen (former)","1857",NA,NA,NA,NA
"15075","Yemen","1857",1030,23.387,2738662,NA
"15076","Yugoslavia","1857",NA,NA,NA,"Europe & Central Asia"
"15077","Zambia","1857",761,32.6,747000,"Sub-Saharan Africa"
"15078","Zimbabwe","1857",931,33.7,1346417,"Sub-Saharan Africa"
"15079","Åland","1857",NA,NA,NA,"Europe & Central Asia"
"15080","South Sudan","1857",608,26.665,1205835,"Sub-Saharan Africa"
"15081","Abkhazia","1858",NA,NA,NA,"Europe & Central Asia"
"15082","Afghanistan","1858",688,27.6166933333333,3810047,"South Asia"
"15083","Akrotiri and Dhekelia","1858",NA,NA,NA,"Europe & Central Asia"
"15084","Albania","1858",730,35.4,506889,"Europe & Central Asia"
"15085","Algeria","1858",1110,28.8224,3299305,"Middle East & North Africa"
"15086","American Samoa","1858",NA,NA,7958,"East Asia & Pacific"
"15087","Andorra","1858",1945,NA,3230,"Europe & Central Asia"
"15088","Angola","1858",797,26.98,1949329,"Sub-Saharan Africa"
"15089","Anguilla","1858",NA,NA,2511,"America"
"15090","Antigua and Barbuda","1858",980,33.536,37000,"America"
"15091","Argentina","1858",2591,33.2,1113189,"America"
"15092","Armenia","1858",596,33.995,544302,"Europe & Central Asia"
"15093","Aruba","1858",1079,34.419,22574,"America"
"15094","Australia","1858",3804,34.05,742619,"East Asia & Pacific"
"15095","Austria","1858",3145,34.4,3962619,"Europe & Central Asia"
"15096","Azerbaijan","1858",960,29.165,1160156,"Europe & Central Asia"
"15097","Bahamas","1858",1872,35.179,29372,"America"
"15098","Bahrain","1858",1677,30.3,64474,"Middle East & North Africa"
"15099","Bangladesh","1858",879,25.5,22719284,"South Asia"
"15100","Barbados","1858",1183,32.124,132965,"America"
"15101","Belarus","1858",766,36.2,3104450,"Europe & Central Asia"
"15102","Belgium","1858",4088,40.18,4426000,"Europe & Central Asia"
"15103","Belize","1858",750,26.5,25872,"America"
"15104","Benin","1858",719,31,853818,"Sub-Saharan Africa"
"15105","Bermuda","1858",1590,NA,10786,"America"
"15106","Bhutan","1858",680,28.799,104032,"South Asia"
"15107","Bolivia","1858",1227,33,1363412,"America"
"15108","Bosnia and Herzegovina","1858",785,35.1,1109495,"Europe & Central Asia"
"15109","Botswana","1858",479,33.6,121000,"Sub-Saharan Africa"
"15110","Brazil","1858",1333,31.9887866666668,7254194,"America"
"15111","British Virgin Islands","1858",NA,NA,6700,"America"
"15112","Brunei","1858",1725,29.2,3966,"East Asia & Pacific"
"15113","Bulgaria","1858",1317,38.3519999999998,2482395,"Europe & Central Asia"
"15114","Burkina Faso","1858",502,29.2,2073222,"Sub-Saharan Africa"
"15115","Burundi","1858",441,31.5,1135030,"Sub-Saharan Africa"
"15116","Cambodia","1858",958,35,2236808,"East Asia & Pacific"
"15117","Cameroon","1858",754,28.75,2033578,"Sub-Saharan Africa"
"15118","Canada","1858",2364,41.434432,2487811,"America"
"15119","Cape Verde","1858",624,33.8,72956,"Sub-Saharan Africa"
"15120","Cayman Islands","1858",1346,NA,3103,"America"
"15121","Central African Republic","1858",511,30,553476,NA
"15122","Chad","1858",504,30.9,1432000,"Sub-Saharan Africa"
"15123","Channel Islands","1858",NA,NA,53405,"Europe & Central Asia"
"15124","Chile","1858",1559,32,1413837,"America"
"15125","China","1858",1029,27.425,402711280,"East Asia & Pacific"
"15126","Christmas Island","1858",NA,NA,NA,"East Asia & Pacific"
"15127","Cocos Island","1858",NA,NA,NA,"East Asia & Pacific"
"15128","Colombia","1858",1065,32,2014645,"America"
"15129","Comoros","1858",738,32.1,71389,"Sub-Saharan Africa"
"15130","Congo, Dem. Rep.","1858",616,31.6,6300144,"Sub-Saharan Africa"
"15131","Congo, Rep.","1858",677,32.7,391323,"Sub-Saharan Africa"
"15132","Cook Is","1858",NA,NA,15862,NA
"15133","Costa Rica","1858",1188,30.2147,100882,"America"
"15134","Cote d'Ivoire","1858",1025,31.156,1335437,"Sub-Saharan Africa"
"15135","Croatia","1858",1780,36.1,1600709,"Europe & Central Asia"
"15136","Cuba","1858",1693,36.58,1181650,"America"
"15137","Cyprus","1858",1341,38.5073263157894,185383,"Europe & Central Asia"
"15138","Czech Republic","1858",2531,34.9544,6157866,NA
"15139","Czechoslovakia","1858",NA,NA,NA,"Europe & Central Asia"
"15140","Denmark","1858",2927,40.04,1511190,"Europe & Central Asia"
"15141","Djibouti","1858",903,29.9,28798,"Middle East & North Africa"
"15142","Dominica","1858",859,NA,23075,"America"
"15143","Dominican Republic","1858",822,29.9,150616,NA
"15144","East Germany","1858",NA,NA,NA,"Europe & Central Asia"
"15145","Ecuador","1858",677,32.9,807027,"America"
"15146","Egypt","1858",945,33,5738339,"Middle East & North Africa"
"15147","El Salvador","1858",1344,28.7,369053,"America"
"15148","Equatorial Guinea","1858",384,29.8,88807,"Sub-Saharan Africa"
"15149","Eritrea","1858",588,30.2,305654,"Sub-Saharan Africa"
"15150","Eritrea and Ethiopia","1858",NA,NA,NA,"Sub-Saharan Africa"
"15151","Estonia","1858",1227,39.1653536378566,440656,"Europe & Central Asia"
"15152","Ethiopia","1858",531,29.7,4517871,"Sub-Saharan Africa"
"15153","Faeroe Islands","1858",NA,NA,16463,"Europe & Central Asia"
"15154","Falkland Is (Malvinas)","1858",NA,NA,109,NA
"15155","Fiji","1858",896,26.1,137063,"East Asia & Pacific"
"15156","Finland","1858",1577,33.8087673652242,1607810,"Europe & Central Asia"
"15157","France","1858",2900,39.67,36277905,"Europe & Central Asia"
"15158","French Guiana","1858",NA,30.5,12324,"America"
"15159","French Polynesia","1858",NA,25.6,61061,"East Asia & Pacific"
"15160","Gabon","1858",394,30.6,203580,"Sub-Saharan Africa"
"15161","Gambia","1858",842,28.8,129198,"Sub-Saharan Africa"
"15162","Georgia","1858",652,31.871,1413431,"Europe & Central Asia"
"15163","Germany","1858",2409,38.37,33663143,"Europe & Central Asia"
"15164","Ghana","1858",729,28,1741881,"Sub-Saharan Africa"
"15165","Gibraltar","1858",NA,NA,11693,"Europe & Central Asia"
"15166","Greece","1858",1873,36.6,3048571,"Europe & Central Asia"
"15167","Greenland","1858",591,33.8671809144536,11739,"Europe & Central Asia"
"15168","Grenada","1858",1130,37.3,32404,"America"
"15169","Guadeloupe","1858",NA,27.655,100754,"America"
"15170","Guam","1858",NA,27.5,29213,"East Asia & Pacific"
