"";"id";"Total.population";"Hispanic.or.Latino";"Total.population..not.Hispanic.or.Latino";"One.race.total";"White";"Black.or.African.American";"American.Indian.and.Alaska.Native";"Asian";"Native.Hawaiian.and.Other.Pacific.Islander";"Some.Other.Race";"Two.or.More.Races"
"124";"4218";2007;100;1907;1890;1587;59;7;219;0;18;117
"125";"4219";3632;331;3301;3386;2475;297;21;503;2;88;246
"126";"4220";1756;222;1534;1625;848;504;9;175;5;84;131
"127";"4221";2685;761;1924;2486;1225;450;33;339;4;435;199
"128";"4222";3144;358;2786;2923;1882;402;11;484;13;131;221
"129";"4223";3387;311;3076;3177;2224;196;6;651;3;97;210
"130";"4224";4196;343;3853;3985;2324;191;5;1360;2;103;211
"131";"4225";4658;323;4335;4380;2889;104;8;1290;13;76;278
"132";"4226";1215;141;1074;1137;629;12;2;457;0;37;78
"133";"4227";4885;499;4386;4588;2813;127;17;1434;5;192;297
"134";"4228";8368;1077;7291;7798;3137;350;42;3749;10;510;570
"135";"4229";4336;485;3851;4061;1804;385;11;1607;9;245;275
"136";"4230";4396;447;3949;4103;2866;353;23;710;6;145;293
"137";"4231";3964;641;3323;3704;2126;712;23;522;19;302;260
"138";"4232";2794;887;1907;2589;1170;642;23;251;7;496;205
"139";"4233";3647;542;3105;3375;1519;1265;27;322;14;228;272
"140";"4234";4685;738;3947;4287;2228;1202;17;514;11;315;398
"141";"4235";3118;255;2863;2916;1704;606;17;493;4;92;202
"142";"4236.01";2642;203;2439;2501;1934;92;14;385;3;73;141
"143";"4236.02";5659;504;5155;5325;2652;141;20;2314;3;195;334
"144";"4237";3633;275;3358;3430;2553;81;7;716;4;69;203
"145";"4238";2925;128;2797;2809;2549;49;6;182;2;21;116
"146";"4239.01";2020;221;1799;1884;1177;427;11;152;2;115;136
"147";"4239.02";1552;134;1418;1459;1213;56;6;148;4;32;93
"148";"4240.01";3716;750;2966;3456;1472;1181;30;314;11;448;260
"149";"4240.02";2172;369;1803;2033;742;931;37;158;7;158;139
"150";"4251.01";1596;56;1540;1529;977;98;4;432;2;16;67
"151";"4251.02";2807;207;2600;2657;1097;418;9;1062;3;68;150
"152";"4251.03";2502;245;2257;2316;1175;444;10;613;2;72;186
"153";"4251.04";3175;419;2756;2935;1241;804;21;668;9;192;240
"154";"4261";5922;193;5729;5651;4437;75;3;1072;9;55;271
"155";"4262";4745;228;4517;4462;3480;69;3;867;4;39;283
"156";"4271";3646;340;3306;3405;2656;79;14;530;14;112;241
"157";"4272";4107;592;3515;3793;1897;237;31;1397;48;183;314
"158";"4273";4896;514;4382;4556;2330;409;36;1595;45;141;340
"159";"4276";4722;642;4080;4331;1299;775;41;1901;33;282;391
"160";"4277";4866;579;4287;4542;2478;346;36;1445;35;202;324
"161";"4278";4640;549;4091;4276;2684;217;22;1157;23;173;364
"162";"4279";4567;560;4007;4248;2834;218;24;989;17;166;319
"163";"4280";2928;523;2405;2679;1243;230;25;969;11;201;249
"164";"4281";4651;619;4032;4290;3032;158;29;927;14;130;361
"165";"4282";6259;617;5642;5812;3722;240;20;1649;21;160;447
"166";"4283.01";6526;532;5994;6043;2831;229;20;2816;12;135;483
"167";"4283.02";7074;385;6689;6713;3372;180;8;3064;15;74;361
"168";"4284";4357;578;3779;4071;2345;338;34;1155;18;181;286
"169";"4285";3183;297;2886;2951;1592;223;18;983;22;113;232
"170";"4286";3271;269;3002;3059;1468;265;10;1229;11;76;212
