"","Col1","Total.population","Hispanic.or.Latino","Total.population..not.Hispanic.or.Latino","One.race.total","White","Black.or.African.American","American.Indian.and.Alaska.Native","Asian","Native.Hawaiian.and.Other.Pacific.Islander","Some.Other.Race","Two.or.More.Races"
"1","BLOCKS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Block 1012, Block Group 1, Census Tract 4002, Alameda County, California",6,0,6,6,6,0,0,0,0,0,0
"92","Block 1013, Block Group 1, Census Tract 4002, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"93","Block 1014, Block Group 1, Census Tract 4002, Alameda County, California",59,9,50,52,40,0,0,10,0,2,7
"94","Block 1015, Block Group 1, Census Tract 4002, Alameda County, California",10,0,10,9,5,3,0,1,0,0,1
"95","Block 1016, Block Group 1, Census Tract 4002, Alameda County, California",9,0,9,5,4,0,0,0,0,1,4
"96","Block 1017, Block Group 1, Census Tract 4002, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"97","Block 1018, Block Group 1, Census Tract 4002, Alameda County, California",9,0,9,8,8,0,0,0,0,0,1
"98","Block 1019, Block Group 1, Census Tract 4002, Alameda County, California",97,6,91,93,82,0,1,10,0,0,4
"99","Block 1020, Block Group 1, Census Tract 4002, Alameda County, California",129,8,121,127,116,1,1,8,0,1,2
"100","Block 1021, Block Group 1, Census Tract 4002, Alameda County, California",18,1,17,16,14,0,0,2,0,0,2
"101","Block 1022, Block Group 1, Census Tract 4002, Alameda County, California",85,9,76,83,73,1,0,6,0,3,2
"102","Block 2000, Block Group 2, Census Tract 4002, Alameda County, California",128,7,121,122,116,2,0,4,0,0,6
"103","Block 2001, Block Group 2, Census Tract 4002, Alameda County, California",52,3,49,49,45,1,0,3,0,0,3
"104","Block 2002, Block Group 2, Census Tract 4002, Alameda County, California",49,8,41,47,42,0,0,4,0,1,2
"105","Block 2003, Block Group 2, Census Tract 4002, Alameda County, California",37,2,35,34,32,0,0,2,0,0,3
"106","Block 2004, Block Group 2, Census Tract 4002, Alameda County, California",269,23,246,252,200,8,0,41,0,3,17
